current_limit,recommended_limit,action,pd,ep
100000.0,80000.0,decrease,0.045454547,14.545456171035767
160000.0,128000.0,decrease,0.12701252,-49.46261110305786
60000.0,48000.0,decrease,0.1407767,-2942.7447117233273
90000.0,72000.0,decrease,0.14619882,-4875.789198875427
360000.0,288000.0,decrease,0.068686865,-84.14847671598196
150000.0,120000.0,decrease,0.068686865,-1824.4331570115685
50000.0,40000.0,decrease,0.1407767,-1206.9327570295334
20000.0,16000.0,decrease,0.2434457,-2017.0786666870117
140000.0,112000.0,decrease,0.14285715,-44.160002574920654
380000.0,304000.0,decrease,0.06666667,1.6200001689791677
480000.0,384000.0,decrease,0.068686865,-8145.453758239746
50000.0,40000.0,decrease,0.15151516,-2836.363744735718
60000.0,48000.0,decrease,0.5691057,-15430.2437210083
70000.0,56000.0,decrease,0.12701252,-313.6379204034805
80000.0,64000.0,decrease,0.1407767,-393.7584275150299
350000.0,280000.0,decrease,0.15151516,-50.55818374991417
130000.0,104000.0,decrease,0.11968085,-5388.085145950317
360000.0,288000.0,decrease,0.38709676,21.86257993221283
330000.0,264000.0,decrease,0.12701252,-5951.195228387117
50000.0,40000.0,decrease,0.2434457,-1669.636866350174
280000.0,224000.0,decrease,0.5691057,-43613.905340840814
100000.0,80000.0,decrease,0.068686865,-1105.7453476810456
50000.0,40000.0,decrease,0.12701252,-1068.7858524143696
30000.0,24000.0,decrease,0.5,-5095.719999999999
240000.0,192000.0,decrease,0.12701252,-18.323649113178252
80000.0,64000.0,decrease,0.625,-4980.295
400000.0,320000.0,decrease,0.056886226,-277.8299211740494
240000.0,192000.0,decrease,0.056886226,-710.1762389969825
50000.0,40000.0,decrease,0.7,-15999.999713897705
450000.0,360000.0,decrease,0.5,0.0
110000.0,88000.0,decrease,0.38709676,0.0
310000.0,248000.0,decrease,0.78571427,-111954.28318023682
20000.0,16000.0,decrease,0.18817204,-1486.4516067504883
20000.0,16000.0,decrease,0.38709676,0.0
200000.0,160000.0,decrease,0.07954545,-3054.1867286521197
180000.0,144000.0,decrease,0.18817204,-13378.064460754395
50000.0,40000.0,decrease,0.33639145,-608.6013078308106
60000.0,48000.0,decrease,0.5,-13440.0
30000.0,24000.0,decrease,0.12701252,-224.83005046844482
240000.0,192000.0,decrease,0.2434457,-11.976404583454132
420000.0,336000.0,decrease,0.12701252,-14246.018902857302
330000.0,264000.0,decrease,0.1,-9095.560203301608
30000.0,24000.0,decrease,0.12701252,-1348.980302810669
240000.0,192000.0,decrease,0.3768116,-2199.7721711468694
150000.0,120000.0,decrease,0.056886226,-246.5139951658249
210000.0,168000.0,decrease,0.12701252,-402.7830354142189
50000.0,40000.0,decrease,0.2585034,-101.59673734664916
50000.0,40000.0,decrease,0.15151516,-2836.363744735718
240000.0,192000.0,decrease,0.43209878,0.0
180000.0,144000.0,decrease,0.2434457,-230.95550733566284
50000.0,40000.0,decrease,0.18817204,-941.2025767493247
170000.0,136000.0,decrease,0.045454547,-88.42910079181195
20000.0,16000.0,decrease,0.14619882,-81.19543402016163
50000.0,40000.0,decrease,0.33639145,-908.9925120544433
170000.0,136000.0,decrease,0.11968085,-998.2981988203525
200000.0,160000.0,decrease,0.27272728,-22981.818962097168
80000.0,64000.0,decrease,0.5,-2567.04
260000.0,208000.0,decrease,0.1407767,70.91261792182922
140000.0,112000.0,decrease,0.18817204,-8047.92770862341
80000.0,64000.0,decrease,0.056886226,-599.8073842477799
350000.0,280000.0,decrease,0.15151516,-14.749091472625732
280000.0,224000.0,decrease,0.1,-8351.000186659396
30000.0,24000.0,decrease,0.14619882,-610.4217199814319
140000.0,112000.0,decrease,0.068686865,-507.9029812169075
200000.0,160000.0,decrease,0.068686865,-2236.181602066755
200000.0,160000.0,decrease,0.11968085,-8289.361763000488
210000.0,168000.0,decrease,0.5,-32419.8
50000.0,40000.0,decrease,0.6666667,-4884.5201532316205
30000.0,24000.0,decrease,0.625,-8520.0
50000.0,40000.0,decrease,0.33639145,-70.9155990600586
290000.0,232000.0,decrease,0.15151516,-87.50182152509689
250000.0,200000.0,decrease,0.15151516,-10013.994928070308
60000.0,48000.0,decrease,0.12701252,-1188.6764768266678
110000.0,88000.0,decrease,0.1,-3520.000078678131
370000.0,296000.0,decrease,0.045454547,-44.31273222506046
100000.0,80000.0,decrease,0.1407767,-5157.281303405762
90000.0,72000.0,decrease,0.15789473,-5381.052360534668
50000.0,40000.0,decrease,0.1407767,-1807.6270968437193
270000.0,216000.0,decrease,0.045454547,-274.14548518359663
300000.0,240000.0,decrease,0.12701252,-38.67076868057251
50000.0,40000.0,decrease,0.1407767,-552.2803615784644
50000.0,40000.0,decrease,0.6666667,269.4200084519386
360000.0,288000.0,decrease,0.2434457,0.0
130000.0,104000.0,decrease,0.7,-25846.7995378232
80000.0,64000.0,decrease,0.1407767,-398.851242802143
50000.0,40000.0,decrease,0.43209878,-9570.370626449585
20000.0,16000.0,decrease,0.15151516,-1134.545497894287
80000.0,64000.0,decrease,0.15789473,-4783.157653808594
240000.0,192000.0,decrease,0.1407767,-787.2589909648896
80000.0,64000.0,decrease,0.045454547,-360.7854948663711
500000.0,400000.0,decrease,0.03809524,-161.205763529837
60000.0,48000.0,decrease,0.29268292,-7469.267978668213
20000.0,16000.0,decrease,0.15151516,-754.6145742869377
100000.0,80000.0,decrease,0.3912356,-3110.099029817581
360000.0,288000.0,decrease,0.068686865,-55.49090372800827
200000.0,160000.0,decrease,0.7,-63999.99885559082
130000.0,104000.0,decrease,0.1407767,0.0
20000.0,16000.0,decrease,0.2434457,-2017.0786666870117
310000.0,248000.0,decrease,0.03809524,-171.14576656624672
60000.0,48000.0,decrease,0.7,-7849.999859631062
180000.0,144000.0,decrease,0.1407767,-734.0100615072249
180000.0,144000.0,decrease,0.15151516,-1040.2364033818244
50000.0,40000.0,decrease,0.07954545,-1109.0908765792847
50000.0,40000.0,decrease,0.5691057,-11626.045716958046
150000.0,120000.0,decrease,0.1407767,0.0
20000.0,16000.0,decrease,0.2434457,-2017.0786666870117
500000.0,400000.0,decrease,0.11968085,-21.345106539726252
30000.0,24000.0,decrease,0.5691057,-7715.12186050415
180000.0,144000.0,decrease,0.12701252,-42.155634462833405
140000.0,112000.0,decrease,0.2434457,-3419.3265422844884
140000.0,112000.0,decrease,0.068686865,-284.7514876317978
120000.0,96000.0,decrease,0.068686865,-2036.3634395599365
360000.0,288000.0,decrease,0.11968085,-11731.001149976253
20000.0,16000.0,decrease,0.2434457,-28.617303583621975
100000.0,80000.0,decrease,0.33639145,-70.9155990600586
210000.0,168000.0,decrease,0.15151516,-218.96728109359742
80000.0,64000.0,decrease,0.15151516,-4538.181991577148
330000.0,264000.0,decrease,0.12701252,-498.6730519390106
220000.0,176000.0,decrease,0.06666667,-2112.14022031337
210000.0,168000.0,decrease,0.33639145,0.0
40000.0,32000.0,decrease,0.15151516,-2269.090995788574
30000.0,24000.0,decrease,0.15151516,-1701.8182468414307
470000.0,376000.0,decrease,0.78571427,-133881.52268392086
30000.0,24000.0,decrease,0.33639145,-70.9155990600586
240000.0,192000.0,decrease,0.33639145,172.01578643798825
80000.0,64000.0,decrease,0.5,-17920.0
110000.0,88000.0,decrease,0.045454547,-640.0000715255737
310000.0,248000.0,decrease,0.15151516,-100.97454931259155
360000.0,288000.0,decrease,0.5,-29446.76
330000.0,264000.0,decrease,0.12701252,-14838.783330917358
300000.0,240000.0,decrease,0.11968085,-12434.042644500732
320000.0,256000.0,decrease,0.03809524,-261.86579427883044
50000.0,40000.0,decrease,0.5,-11200.0
170000.0,136000.0,decrease,0.056886226,-1842.3543653845786
350000.0,280000.0,decrease,0.1407767,-210.48154319524764
20000.0,16000.0,decrease,0.2434457,-2017.0786666870117
50000.0,40000.0,decrease,0.5,-11200.0
20000.0,16000.0,decrease,0.33639145,-2909.35791015625
50000.0,40000.0,decrease,0.12701252,-1971.9843726587294
20000.0,16000.0,decrease,0.4827586,-4314.482669830322
50000.0,40000.0,decrease,0.1,-1600.0000357627869
190000.0,152000.0,decrease,0.9361702,-70313.47846494197
60000.0,48000.0,decrease,0.12701252,-2697.960605621338
80000.0,64000.0,decrease,0.11968085,-413.8463860177993
150000.0,120000.0,decrease,0.11968085,-6217.021322250366
210000.0,168000.0,decrease,0.11968085,-74.6042558670044
240000.0,192000.0,decrease,0.12701252,-10791.842422485352
140000.0,112000.0,decrease,0.056886226,-273.39255620718
60000.0,48000.0,decrease,0.27272728,-3088.32555940032
50000.0,40000.0,decrease,0.15151516,-2836.363744735718
50000.0,40000.0,decrease,0.12701252,-1498.2112488090993
180000.0,144000.0,decrease,0.27272728,-450.8745607626438
30000.0,24000.0,decrease,0.5,-39.760000000000005
20000.0,16000.0,decrease,0.2434457,-2017.0786666870117
250000.0,200000.0,decrease,0.068686865,-1121.5695885759592
100000.0,80000.0,decrease,0.068686865,-801.1181043943762
330000.0,264000.0,decrease,0.11968085,-2390.4446984052656
50000.0,40000.0,decrease,0.12701252,-2007.3388980948923
50000.0,40000.0,decrease,0.3768116,-8243.47825050354
30000.0,24000.0,decrease,0.15151516,-1701.8182468414307
140000.0,112000.0,decrease,0.12701252,-5707.929113780259
160000.0,128000.0,decrease,0.068686865,-1490.002886302173
400000.0,320000.0,decrease,0.068686865,-414.31511147379877
50000.0,40000.0,decrease,0.1407767,-1785.6441852879525
140000.0,112000.0,decrease,0.2434457,-145.4817988348007
160000.0,128000.0,decrease,0.11968085,-415.2452158153057
100000.0,80000.0,decrease,0.12701252,-3494.4210594058036
220000.0,176000.0,decrease,0.78571427,-79451.42677307129
510000.0,408000.0,decrease,0.03809524,-223.8029255087672
50000.0,40000.0,decrease,0.15151516,-2836.363744735718
160000.0,128000.0,decrease,0.27272728,-642.4854763591289
230000.0,184000.0,decrease,0.068686865,-48.42726804703474
80000.0,64000.0,decrease,0.068686865,-214.56058532446622
150000.0,120000.0,decrease,0.15789473,-460.0799768257141
10000.0,8000.0,decrease,0.43209878,-1668.594118721485
130000.0,104000.0,decrease,0.12701252,-5002.637245460748
40000.0,32000.0,decrease,0.1407767,-2062.9125213623047
50000.0,40000.0,decrease,0.78571427,-6181.862717218399
100000.0,80000.0,decrease,0.068686865,-1484.9119777032734
120000.0,96000.0,decrease,0.3768116,-222.98608667612075
260000.0,208000.0,decrease,0.5,0.0
200000.0,160000.0,decrease,0.11968085,-583.001174494028
360000.0,288000.0,decrease,0.33639145,0.0
70000.0,56000.0,decrease,0.11968085,-2901.276617050171
460000.0,368000.0,decrease,0.5,-47.879999999999995
50000.0,40000.0,decrease,0.2585034,-156.1779632616043
50000.0,40000.0,decrease,0.18817204,-3716.1290168762207
250000.0,200000.0,decrease,0.045454547,-749.8837201696633
30000.0,24000.0,decrease,0.2434457,-190.6139340019226
270000.0,216000.0,decrease,0.045454547,-927.5855582112072
180000.0,144000.0,decrease,0.1,-5760.000128746033
100000.0,80000.0,decrease,0.068686865,-1134.7211024564504
230000.0,184000.0,decrease,0.045454547,-1338.1819677352905
210000.0,168000.0,decrease,0.06666667,-2206.9202301996947
210000.0,168000.0,decrease,0.5691057,-19449.179283509253
440000.0,352000.0,decrease,0.045454547,-1313.7528740960356
100000.0,80000.0,decrease,0.5,-19850.879999999997
240000.0,192000.0,decrease,0.068686865,-185.62725478738545
280000.0,224000.0,decrease,0.3768116,-185.06608672380446
50000.0,40000.0,decrease,0.33639145,0.0
30000.0,24000.0,decrease,0.78571427,-767.428554058075
10000.0,8000.0,decrease,0.43209878,-1678.403748613596
130000.0,104000.0,decrease,0.2434457,0.0
200000.0,160000.0,decrease,0.11968085,-8289.361763000488
120000.0,96000.0,decrease,0.12701252,-94.7658662724495
210000.0,168000.0,decrease,0.068686865,-3038.1057669892907
280000.0,224000.0,decrease,0.068686865,-1251.1544245371222
300000.0,240000.0,decrease,0.38709676,0.0
100000.0,80000.0,decrease,0.15151516,-5672.727489471436
440000.0,352000.0,decrease,0.15789473,0.0
50000.0,40000.0,decrease,0.1407767,-2578.640651702881
20000.0,16000.0,decrease,0.33639145,-2176.199716796875
200000.0,160000.0,decrease,0.1407767,-56.14990019083022
110000.0,88000.0,decrease,0.12701252,-24.281645450592038
500000.0,400000.0,decrease,0.068686865,-222.36664517611266
300000.0,240000.0,decrease,0.14619882,0.0
30000.0,24000.0,decrease,0.5846154,-3215.0770674705504
60000.0,48000.0,decrease,0.11968085,-1080.0520292079448
400000.0,320000.0,decrease,0.11968085,-191.53606523633005
180000.0,144000.0,decrease,0.068686865,-3039.717888045609
20000.0,16000.0,decrease,0.33639145,-1988.182461853027
200000.0,160000.0,decrease,0.2585034,-7084.6161033523085
100000.0,80000.0,decrease,0.12701252,-3132.669508202075
60000.0,48000.0,decrease,0.1407767,-3094.368782043457
110000.0,88000.0,decrease,0.068686865,-1014.3423262116313
260000.0,208000.0,decrease,0.1407767,0.0
50000.0,40000.0,decrease,0.5,-11200.0
180000.0,144000.0,decrease,0.33639145,0.36366973876953124
110000.0,88000.0,decrease,0.4827586,-15737.614848539828
340000.0,272000.0,decrease,0.068686865,-3652.3026773273946
50000.0,40000.0,decrease,0.2434457,-176.3683159184456
230000.0,184000.0,decrease,0.12701252,-1481.6862400996683
360000.0,288000.0,decrease,0.03809524,-265.7972240512072
210000.0,168000.0,decrease,0.1407767,0.0
220000.0,176000.0,decrease,0.3768116,-133.95652157068253
60000.0,48000.0,decrease,0.78571427,-11239.668317022322
340000.0,272000.0,decrease,0.045454547,-366.5164045977592
150000.0,120000.0,decrease,0.7,-39941.999285781385
200000.0,160000.0,decrease,0.43209878,42.82740855336189
130000.0,104000.0,decrease,0.33639145,-1738.1595164489745
60000.0,48000.0,decrease,0.33639145,-1916.5395233154297
400000.0,320000.0,decrease,0.12701252,0.0
20000.0,16000.0,decrease,0.14619882,-1083.508710861206
190000.0,152000.0,decrease,0.068686865,-3043.1754634690283
260000.0,208000.0,decrease,0.045454547,-1140.9601275122163
140000.0,112000.0,decrease,0.15151516,-27.654546511173248
50000.0,40000.0,decrease,0.1407767,-2578.640651702881
120000.0,96000.0,decrease,0.12701252,-49.57502612829208
240000.0,192000.0,decrease,0.1,-3.68000008225441
50000.0,40000.0,decrease,0.2434457,-745.8148370075226
200000.0,160000.0,decrease,0.33639145,-435.1308424377441
180000.0,144000.0,decrease,0.056886226,-2034.9699211120605
180000.0,144000.0,decrease,0.11968085,-7460.425586700439
160000.0,128000.0,decrease,0.068686865,-65.69393304497004
100000.0,80000.0,decrease,0.1407767,-88.31844232082366
50000.0,40000.0,decrease,0.15789473,-2989.473533630371
140000.0,112000.0,decrease,0.1,-4480.000100135803
30000.0,24000.0,decrease,0.2434457,-2255.7242864394184
90000.0,72000.0,decrease,0.06666667,-782.5600816273687
200000.0,160000.0,decrease,0.045454547,104.62546623826023
380000.0,304000.0,decrease,0.38709676,0.0
80000.0,64000.0,decrease,0.1407767,-4125.825042724609
50000.0,40000.0,decrease,0.625,-5644.145
180000.0,144000.0,decrease,0.12701252,-1555.767741729021
240000.0,192000.0,decrease,0.068686865,-2997.5906193897126
380000.0,304000.0,decrease,0.045454547,-1413.192885209322
110000.0,88000.0,decrease,0.056886226,-1183.6035121023654
260000.0,208000.0,decrease,0.045454547,-361.1418585425614
500000.0,400000.0,decrease,0.78571427,-180571.42448425293
320000.0,256000.0,decrease,0.068686865,-1512.5301568523048
50000.0,40000.0,decrease,0.5691057,-12858.536434173584
110000.0,88000.0,decrease,0.3768116,0.0
230000.0,184000.0,decrease,0.1407767,-49.058638398647304
330000.0,264000.0,decrease,0.2434457,1.134606750011444
50000.0,40000.0,decrease,0.15151516,-2836.363744735718
10000.0,8000.0,decrease,0.5,-808.36
300000.0,240000.0,decrease,0.43209878,0.0
20000.0,16000.0,decrease,0.5691057,-5143.414573669434
180000.0,144000.0,decrease,0.7,-33415.199402489656
160000.0,128000.0,decrease,0.068686865,-2.0999997970461846
90000.0,72000.0,decrease,0.33639145,-6237.29968963623
30000.0,24000.0,decrease,0.2434457,-2897.911706945896
180000.0,144000.0,decrease,0.15789473,-10762.104721069336
30000.0,24000.0,decrease,0.14619882,-1296.3504532510042
30000.0,24000.0,decrease,0.5,-5745.04
140000.0,112000.0,decrease,0.068686865,-229.7908868828416
210000.0,168000.0,decrease,0.056886226,-988.3311900889873
50000.0,40000.0,decrease,0.1,-821.040018351674
130000.0,104000.0,decrease,0.1,-3562.2000796213742
50000.0,40000.0,decrease,0.78571427,-855.0056949329376
140000.0,112000.0,decrease,0.056886226,-1421.567807252407
170000.0,136000.0,decrease,0.3768116,-607.5443470621109
80000.0,64000.0,decrease,0.068686865,-479.79692332714797
410000.0,328000.0,decrease,0.1,-13120.000293254852
80000.0,64000.0,decrease,0.07954545,0.0
80000.0,64000.0,decrease,0.2434457,-7960.400958080291
150000.0,120000.0,decrease,0.1407767,-7735.921955108643
260000.0,208000.0,decrease,0.29268292,-175.99462674736975
350000.0,280000.0,decrease,0.4827586,0.0
280000.0,224000.0,decrease,0.045454547,9.54181924819946
310000.0,248000.0,decrease,0.068686865,-2201.754332666695
140000.0,112000.0,decrease,0.06666667,-402.20004195272924
360000.0,288000.0,decrease,0.11968085,-1968.723418712616
140000.0,112000.0,decrease,0.056886226,-1582.7543830871582
100000.0,80000.0,decrease,0.11968085,-2114.305334675312
50000.0,40000.0,decrease,0.12701252,0.0
210000.0,168000.0,decrease,0.068686865,-2220.930088389218
120000.0,96000.0,decrease,0.5691057,-30860.4874420166
240000.0,192000.0,decrease,0.12701252,-8788.719087836742
60000.0,48000.0,decrease,0.12701252,-2322.606836364269
150000.0,120000.0,decrease,0.33639145,-266.20624877929686
30000.0,24000.0,decrease,0.18817204,-2229.6774101257324
160000.0,128000.0,decrease,0.6666667,-48640.001525878906
200000.0,160000.0,decrease,0.07954545,-106.97181504607201
120000.0,96000.0,decrease,0.12701252,-1488.1501040506362
500000.0,400000.0,decrease,0.18817204,-37161.29016876221
320000.0,256000.0,decrease,0.03809524,-158.87719138994794
280000.0,224000.0,decrease,0.06666667,-3367.640351272225
60000.0,48000.0,decrease,0.5,-8212.960000000001
200000.0,160000.0,decrease,0.1407767,-12.248543095588683
230000.0,184000.0,decrease,0.15151516,0.0
230000.0,184000.0,decrease,0.29268292,-2126.8740569257734
480000.0,384000.0,decrease,0.03809524,-42.47715583279722
50000.0,40000.0,decrease,0.1407767,-1450.4853665828705
200000.0,160000.0,decrease,0.12701252,-403.7947706413269
50000.0,40000.0,decrease,0.2585034,-2000.9963787782192
50000.0,40000.0,decrease,0.12701252,-2248.3005046844482
260000.0,208000.0,decrease,0.38709676,0.0
30000.0,24000.0,decrease,0.7,-9599.999828338623
440000.0,352000.0,decrease,0.045454547,-1233.8983197170492
230000.0,184000.0,decrease,0.12701252,-575.3963066613674
200000.0,160000.0,decrease,0.8,-48289.88075086117
490000.0,392000.0,decrease,0.045454547,-1400.6256110775466
80000.0,64000.0,decrease,0.14619882,-762.6546938574313
20000.0,16000.0,decrease,0.78571427,-4311.594188122749
170000.0,136000.0,decrease,0.2434457,-25.087415916919706
70000.0,56000.0,decrease,0.2434457,-7059.775333404541
210000.0,168000.0,decrease,0.12701252,-9442.862119674683
90000.0,72000.0,decrease,0.12701252,-4046.940908432007
390000.0,312000.0,decrease,0.15151516,-21617.8426441586
110000.0,88000.0,decrease,0.068686865,-1020.7908104369044
580000.0,464000.0,decrease,0.045454547,-1161.8910389423368
360000.0,288000.0,decrease,0.056886226,-130.1532845377922
270000.0,216000.0,decrease,0.5691057,-69436.09674453735
60000.0,48000.0,decrease,0.2434457,-1774.0206873512266
110000.0,88000.0,decrease,0.11968085,-3202.1286405360697
50000.0,40000.0,decrease,0.14619882,-2708.771777153015
80000.0,64000.0,decrease,0.33639145,-11637.431640625
50000.0,40000.0,decrease,0.1407767,-22.563105702400208
100000.0,80000.0,decrease,0.29268292,-12448.779964447021
30000.0,24000.0,decrease,0.15151516,0.0
200000.0,160000.0,decrease,0.056886226,-1737.115330644846
240000.0,192000.0,decrease,0.15789473,-14349.472961425781
220000.0,176000.0,decrease,0.068686865,-791.296893222332
160000.0,128000.0,decrease,0.11968085,-6631.489410400391
180000.0,144000.0,decrease,0.11968085,-2389.512145206928
200000.0,160000.0,decrease,0.045454547,-280.46548588991163
140000.0,112000.0,decrease,0.12701252,-5413.008295078277
380000.0,304000.0,decrease,0.5,0.0
600000.0,480000.0,decrease,0.5691057,-150171.63238060474
260000.0,208000.0,decrease,0.12701252,-11691.16262435913
200000.0,160000.0,decrease,0.12701252,-8812.551073186398
80000.0,64000.0,decrease,0.1,-2560.000057220459
40000.0,32000.0,decrease,0.15151516,-2269.090995788574
130000.0,104000.0,decrease,0.5,-19889.52
50000.0,40000.0,decrease,0.12701252,-1347.518907482624
230000.0,184000.0,decrease,0.1,-32.76000073224306
70000.0,56000.0,decrease,0.15789473,-3806.122966179848
180000.0,144000.0,decrease,0.1,-5760.000128746033
80000.0,64000.0,decrease,0.12701252,-94.93448881030082
290000.0,232000.0,decrease,0.03809524,-59.44858958855269
230000.0,184000.0,decrease,0.056886226,-425.9446416127681
170000.0,136000.0,decrease,0.2585034,0.0
230000.0,184000.0,decrease,0.2434457,-23196.404666900635
220000.0,176000.0,decrease,0.12701252,-9892.522220611572
230000.0,184000.0,decrease,0.068686865,-596.3575181227923
500000.0,400000.0,decrease,0.03809524,-169.6343375331162
90000.0,72000.0,decrease,0.1407767,-397.11066036224366
390000.0,312000.0,decrease,0.2585034,-42151.83783531189
400000.0,320000.0,decrease,0.1,-12800.000286102295
180000.0,144000.0,decrease,0.14619882,-198.21437479317186
60000.0,48000.0,decrease,0.5691057,-9417.270620977879
120000.0,96000.0,decrease,0.15151516,-294.8400112652779
60000.0,48000.0,decrease,0.11968085,-1409.1396911990641
50000.0,40000.0,decrease,0.1407767,-2578.640651702881
70000.0,56000.0,decrease,0.2434457,-7059.775333404541
500000.0,400000.0,decrease,0.2434457,-75.64045000076294
200000.0,160000.0,decrease,0.29268292,0.0
250000.0,200000.0,decrease,0.056886226,-634.9388788580894
140000.0,112000.0,decrease,0.5,-31360.0
70000.0,56000.0,decrease,0.1407767,-2660.125696296692
90000.0,72000.0,decrease,0.43209878,-17226.667127609253
100000.0,80000.0,decrease,0.1407767,-160.5848465847969
190000.0,152000.0,decrease,0.12701252,-8543.541917800903
230000.0,184000.0,decrease,0.1407767,-442.5592018485069
320000.0,256000.0,decrease,0.068686865,-1989.0179895901679
220000.0,176000.0,decrease,0.38709676,-84.05419080734252
260000.0,208000.0,decrease,0.068686865,-348.43026935637
90000.0,72000.0,decrease,0.1,-22.920000512301918
